moisture,temp,humidity,rainfall,time_of_day,pump
35.5,35.0,52.7,0,4,0
12.1,29.5,35.9,0,10,1
26.5,28.7,49.2,0,13,0
27.1,32.9,61.9,0,23,0
31.3,36.5,69.4,0,10,0
15.1,27.3,43.5,0,23,1
14.4,31.4,43.4,1,7,0
29.2,25.1,55.3,0,0,0
27.4,30.4,34.2,0,6,0
27.0,32.1,50.6,0,12,0
27.8,28.6,37.6,1,19,0
19.6,30.2,68.7,1,5,0
26.9,26.4,47.3,0,3,0
27.3,32.3,71.5,1,11,0
19.3,36.2,66.1,0,4,1
39.9,27.6,48.5,0,4,0
28.8,29.5,44.3,1,16,0
15.5,34.0,53.1,0,5,1
30.3,36.8,54.0,0,9,0
17.2,26.0,58.5,0,15,1
31.3,31.3,47.2,0,23,0
34.3,33.1,62.5,0,20,0
18.4,31.6,57.7,0,13,1
32.7,22.1,51.6,0,9,0
28.3,34.0,47.9,0,21,0
31.6,38.1,53.2,0,20,0
40.2,32.5,46.8,0,16,0
23.0,27.9,55.6,1,4,0
19.0,29.9,55.9,0,1,1
17.9,39.1,57.6,1,3,0
18.5,35.6,72.7,0,17,1
24.4,34.6,53.7,0,7,0
27.7,33.4,65.0,0,13,0
27.2,29.4,57.3,0,12,0
31.6,31.2,52.6,0,6,0
25.1,31.7,53.8,0,8,0
36.6,34.2,54.4,0,3,0
22.9,38.0,57.8,0,4,0
46.8,36.5,45.4,0,14,0
30.0,26.3,40.3,1,8,0
18.1,32.9,61.5,0,17,1
16.4,34.9,64.0,1,13,0
28.9,34.5,62.5,0,14,0
23.2,29.5,56.5,0,0,0
30.7,43.7,62.7,1,18,0
28.8,26.9,62.1,0,0,0
24.4,27.7,62.9,0,5,0
18.2,32.9,46.4,0,7,1
12.9,40.5,44.0,0,3,1
21.4,28.7,51.1,1,15,0
31.9,30.9,54.8,0,10,0
26.7,36.3,52.6,1,3,0
15.0,31.9,36.2,0,10,1
26.4,30.7,72.2,0,9,0
28.1,34.3,52.3,0,16,0
17.9,33.1,56.7,1,8,0
26.2,36.1,67.4,0,9,0
25.5,37.2,31.6,1,7,0
15.9,33.2,49.9,0,13,1
27.9,33.2,51.1,0,12,0
29.5,32.9,51.6,0,2,0
33.7,34.0,53.3,1,13,0
33.4,32.2,69.5,0,13,0
14.0,32.0,61.7,0,2,1
17.5,36.8,64.6,0,15,1
29.1,38.1,55.5,0,9,0
29.1,26.0,41.0,0,3,0
29.1,32.0,34.2,1,19,0
55.8,29.2,39.7,0,17,0
29.6,30.8,58.6,1,3,0
34.1,33.6,55.3,0,1,0
32.6,34.7,52.9,0,10,0
30.2,31.6,51.3,0,14,0
22.5,24.3,75.1,0,10,0
31.1,28.1,46.8,0,22,0
18.8,35.6,64.3,1,20,0
23.1,21.0,55.0,0,22,0
21.1,36.7,54.4,1,5,0
25.7,34.1,66.8,0,17,0
43.5,37.3,69.6,1,17,0
10.1,31.2,52.6,0,0,1
30.5,23.8,63.0,0,12,0
12.1,33.7,58.6,0,0,1
21.2,37.1,55.1,0,12,1
33.7,35.7,57.0,1,20,0
25.5,29.3,48.1,0,4,0
16.4,32.3,51.9,0,22,1
19.3,29.9,49.2,0,16,1
30.4,28.7,64.0,0,15,0
19.2,35.8,54.0,0,20,1
26.7,27.2,42.0,0,17,0
25.4,28.4,47.8,0,9,0
19.8,27.6,23.0,0,16,1
42.2,26.0,50.1,0,6,0
30.1,32.6,55.4,0,14,0
8.8,36.6,53.6,0,18,1
26.5,31.3,74.8,1,8,0
19.7,26.0,60.7,1,20,0
31.8,35.4,60.3,1,20,0
18.7,38.7,38.6,1,4,0
24.1,29.4,51.4,0,9,0
29.0,30.1,50.1,0,12,0
31.9,34.1,47.1,1,0,0
15.4,38.5,47.0,0,20,1
22.3,29.9,36.9,0,5,0
21.2,26.7,42.2,0,2,1
19.8,34.5,63.7,1,16,0
39.1,35.2,53.6,1,11,0
28.2,32.0,49.9,0,10,0
14.9,29.8,54.9,1,7,0
32.3,36.0,66.7,1,11,0
42.0,34.1,55.0,0,10,0
33.3,28.9,60.4,1,21,0
12.8,32.2,46.5,1,4,0
21.1,26.6,48.8,0,7,1
35.1,34.7,58.5,0,11,0
19.3,31.0,73.9,0,21,1
28.6,30.3,69.3,0,5,0
31.2,31.9,60.8,1,8,0
17.6,32.2,56.5,0,16,1
24.5,35.6,69.0,0,1,0
5.0,34.4,62.9,1,0,0
16.8,31.4,32.1,1,17,0
23.0,35.1,44.5,0,2,0
15.0,33.6,58.4,1,13,0
38.1,30.3,37.1,0,12,0
13.6,31.5,46.0,0,1,1
21.5,31.4,48.0,1,21,0
26.0,34.0,52.4,1,3,0
36.5,30.5,52.1,0,14,0
13.5,30.4,52.1,0,4,1
34.3,39.9,63.3,0,9,0
25.1,35.8,52.3,1,8,0
17.1,29.0,51.2,0,17,1
28.7,34.3,41.5,0,2,0
26.6,32.5,65.2,1,13,0
20.2,33.6,48.3,0,9,1
25.6,32.5,44.1,0,16,0
21.9,36.8,57.1,0,14,1
25.9,33.4,47.3,1,17,0
30.3,31.8,49.7,1,16,0
37.7,36.2,57.6,0,2,0
15.1,32.9,51.7,0,15,1
42.1,32.5,78.1,0,18,0
9.4,33.3,54.3,1,12,0
23.8,31.6,61.2,0,22,0
29.7,32.0,35.6,0,16,0
27.2,29.7,46.4,0,22,0
20.0,29.0,44.1,0,15,1
23.3,28.0,45.5,1,8,0
21.1,26.4,59.2,0,23,1
20.3,28.5,65.4,1,20,0
31.8,31.3,58.4,0,11,0
27.9,32.4,52.7,0,2,0
19.5,30.9,48.7,0,8,1
32.2,22.6,66.1,0,15,0
27.5,38.3,75.7,0,4,0
31.5,36.3,56.4,1,18,0
30.0,33.8,64.4,0,21,0
18.4,39.6,58.4,1,12,0
20.5,28.1,62.6,0,1,1
31.0,39.6,43.4,0,18,0
29.9,28.1,50.1,0,17,0
24.8,33.0,59.0,1,11,0
25.9,26.9,67.1,0,17,0
35.2,32.1,46.8,0,4,0
20.3,33.5,34.7,0,19,1
29.4,31.4,50.0,0,19,0
23.4,34.9,65.1,0,7,0
23.3,32.4,39.2,0,21,0
33.8,29.9,43.2,0,15,0
31.6,29.7,56.6,0,1,0
31.5,35.2,53.8,1,12,0
35.4,29.4,60.9,1,0,0
25.2,35.7,42.7,0,4,0
30.5,36.9,51.8,0,22,0
22.5,25.3,67.0,0,20,0
27.6,36.5,43.1,1,11,0
24.0,40.2,69.8,0,3,0
25.8,33.0,44.3,0,4,0
29.8,34.4,63.5,1,10,0
18.5,36.1,51.3,1,9,0
41.7,30.9,43.6,1,7,0
17.0,32.7,50.0,1,20,0
15.3,26.7,60.4,1,8,0
34.3,32.6,54.9,0,6,0
31.3,34.0,66.2,0,13,0
30.0,34.1,69.4,1,10,0
30.0,36.3,43.2,1,17,0
24.9,28.9,42.4,0,17,0
17.8,29.9,42.0,0,21,1
25.6,39.6,46.0,0,7,0
19.6,31.4,66.0,1,1,0
32.8,32.8,60.6,0,21,0
23.8,31.7,49.5,0,20,0
18.4,28.7,54.9,0,6,1
22.4,38.5,69.0,1,4,0
28.3,29.9,74.1,0,13,0
20.5,27.5,57.6,0,13,1
18.4,30.2,28.4,0,2,1
26.9,24.0,58.0,0,5,0
27.0,29.4,64.3,0,22,0
20.9,28.1,57.2,0,16,1
21.2,34.5,62.3,0,23,1
26.9,29.3,58.6,0,7,0
13.4,35.6,42.7,0,19,1
13.7,37.6,46.1,0,23,1
19.3,35.1,51.8,1,2,0
23.3,31.1,65.7,0,14,0
27.5,32.6,47.3,0,4,0
36.8,25.9,59.6,0,18,0
31.9,31.5,58.0,0,1,0
23.7,28.6,70.9,0,20,0
24.8,34.8,54.6,0,7,0
17.0,42.3,37.5,0,8,1
24.9,34.0,61.5,0,4,0
22.7,24.0,76.4,0,2,0
27.6,30.6,62.1,1,11,0
18.4,32.5,47.1,0,2,1
29.2,32.3,44.2,1,23,0
37.3,29.1,45.5,0,18,0
24.1,33.0,75.0,0,15,0
28.2,27.0,51.7,0,15,0
30.5,28.2,48.4,0,0,0
21.8,34.6,53.4,1,16,0
26.8,27.9,51.8,0,20,0
25.1,34.2,70.7,0,19,0
25.8,26.5,44.9,0,2,0
18.8,39.1,66.8,0,16,1
25.2,28.9,56.2,0,22,0
29.0,31.1,67.1,0,16,0
36.6,33.3,70.8,0,15,0
32.7,29.7,55.8,1,5,0
42.2,32.6,51.8,0,17,0
18.9,34.3,55.7,0,13,1
32.0,35.8,54.1,0,19,0
26.5,35.2,38.4,0,7,0
42.5,31.3,70.5,0,18,0
18.5,31.4,57.5,1,8,0
18.3,41.4,43.4,0,20,1
20.2,35.8,34.3,0,21,1
8.0,28.3,31.7,0,17,1
20.8,32.4,62.7,0,0,1
18.9,30.7,48.8,0,20,1
26.2,31.5,50.5,0,16,0
27.7,27.1,59.9,0,3,0
40.0,30.4,49.8,0,15,0
32.6,39.2,60.5,0,23,0
20.4,34.3,56.0,1,11,0
17.8,22.0,54.2,0,12,1
28.9,36.9,39.3,1,1,0
14.4,36.4,46.8,0,21,1
39.7,30.6,61.0,1,11,0
34.4,34.9,48.2,0,9,0
21.2,28.6,67.1,1,14,0
11.3,30.1,78.5,1,4,0
35.8,38.0,61.6,1,0,0
24.1,30.9,69.9,1,7,0
34.9,24.5,62.2,0,20,0
12.2,31.7,49.7,0,17,1
20.2,31.7,57.0,0,5,1
25.0,36.8,75.1,0,22,0
25.4,32.1,49.8,0,0,0
21.4,30.3,44.6,0,13,1
30.0,36.2,43.7,0,9,0
16.5,32.5,52.8,0,3,1
23.9,29.0,45.0,0,17,0
26.0,36.6,71.7,0,22,0
29.1,32.8,57.2,0,18,0
30.7,32.0,64.7,0,7,0
16.0,32.7,52.0,1,11,0
12.7,27.7,43.6,1,9,0
35.2,29.9,41.9,0,12,0
27.7,32.0,45.9,0,6,0
19.0,31.2,58.5,0,23,1
37.4,37.1,60.2,0,16,0
25.9,32.9,61.0,0,11,0
34.4,35.4,40.1,1,5,0
25.5,32.0,55.0,1,22,0
41.5,36.2,44.7,1,6,0
39.0,33.6,59.0,0,12,0
23.0,32.1,59.8,0,13,0
32.8,31.9,43.3,0,22,0
30.2,28.2,64.7,0,22,0
35.9,34.0,78.4,0,12,0
17.3,31.8,63.3,0,5,1
30.5,30.0,53.4,0,18,0
33.5,36.4,51.8,1,12,0
10.9,27.0,52.9,0,21,1
15.5,30.3,47.4,1,8,0
8.7,36.1,57.5,0,10,1
22.8,33.3,43.6,0,9,0
30.7,31.8,36.1,0,2,0
37.0,33.0,57.2,0,18,0
25.6,32.7,55.2,0,6,0
38.0,25.9,49.3,0,22,0
14.0,30.6,42.2,1,4,0
11.4,38.5,57.9,0,23,1
24.6,29.4,45.1,1,23,0
28.1,30.7,53.6,0,14,0
24.7,29.8,72.6,0,1,0
8.5,31.7,61.5,0,10,1
24.3,29.7,41.3,0,5,0
14.6,33.9,42.3,0,4,1
30.4,32.8,56.5,0,19,0
27.9,35.1,41.2,1,6,0
17.5,27.8,35.0,0,3,1
20.9,30.6,60.3,0,4,1
16.5,31.1,58.2,0,23,1
24.5,33.8,59.5,0,4,0
32.6,28.8,57.6,0,9,0
17.1,35.7,54.3,0,17,1
29.0,36.7,48.4,0,1,0
20.8,28.0,60.2,0,14,1
18.7,30.0,70.3,1,8,0
24.1,29.9,50.0,0,1,0
16.7,42.5,44.8,1,2,0
20.6,30.3,43.6,0,21,1
15.4,38.7,46.3,0,19,1
40.7,26.9,57.0,1,23,0
25.3,28.0,33.6,0,23,0
19.4,29.3,59.4,1,1,0
26.7,28.6,61.4,0,1,0
24.1,30.9,37.0,0,18,0
23.2,29.2,45.2,0,13,0
29.9,28.7,55.8,1,17,0
31.1,36.6,53.6,1,20,0
20.8,36.9,60.2,0,0,1
20.4,35.8,53.6,0,6,1
22.8,34.1,67.6,0,7,0
6.6,32.4,51.8,0,11,1
12.9,30.0,45.2,0,3,1
35.9,28.2,44.4,0,22,0
38.2,33.5,62.4,1,6,0
23.0,27.3,55.3,0,17,0
29.6,28.0,61.3,1,17,0
27.5,36.6,61.1,1,9,0
49.6,39.6,34.8,0,9,0
34.0,33.6,43.6,1,5,0
24.0,36.4,44.8,0,23,0
17.4,31.0,46.8,1,11,0
12.1,26.6,50.8,0,9,1
26.6,34.4,65.0,0,12,0
18.9,34.3,67.0,0,11,1
13.6,32.3,52.1,1,18,0
19.8,31.0,52.5,1,0,0
16.3,35.8,47.9,0,0,1
38.5,28.1,55.9,0,10,0
32.1,28.9,57.0,0,17,0
24.9,28.0,63.1,1,21,0
36.8,32.3,63.0,1,1,0
25.6,27.6,32.0,0,5,0
18.1,29.3,53.5,0,15,1
37.2,29.2,68.8,0,0,0
29.3,31.0,50.6,0,8,0
16.7,26.1,66.4,1,14,0
23.5,32.3,51.9,0,15,0
18.0,37.0,56.7,0,13,1
13.9,32.5,43.6,1,6,0
32.4,38.2,44.0,0,0,0
40.3,37.3,62.3,0,15,0
13.8,35.1,63.8,0,8,1
29.5,32.3,55.3,0,10,0
19.8,32.1,42.7,0,9,1
21.1,35.1,55.4,1,10,0
20.3,30.4,67.6,0,5,1
18.1,24.5,72.4,0,1,1
25.4,34.0,51.8,0,17,0
18.4,27.5,38.4,0,11,1
27.2,28.2,63.4,0,13,0
24.6,32.0,52.2,0,7,0
23.1,31.6,64.4,1,3,0
17.7,26.4,57.8,0,17,1
20.4,32.7,46.2,0,20,1
31.0,35.9,55.6,0,12,0
29.0,27.5,68.1,0,22,0
17.2,37.1,53.5,0,13,1
25.8,25.8,44.7,0,19,0
31.0,40.5,39.1,1,14,0
11.6,30.4,47.3,0,19,1
29.3,32.6,50.9,0,23,0
19.7,24.4,63.2,1,18,0
29.6,31.8,43.8,0,13,0
18.9,32.9,70.5,0,11,1
10.6,31.7,41.6,0,21,1
12.0,29.7,78.3,1,14,0
25.4,28.2,72.3,1,5,0
27.1,36.5,56.4,0,18,0
17.8,32.1,38.5,0,1,1
30.1,38.2,54.4,0,5,0
11.7,29.9,51.1,0,22,1
24.5,30.3,42.3,0,22,0
15.3,35.3,57.9,0,10,1
19.8,25.5,46.8,1,0,0
25.4,27.1,47.9,0,21,0
18.1,36.4,53.0,0,8,1
21.9,27.3,49.3,1,12,0
33.1,24.7,75.8,1,8,0
20.4,39.5,49.6,0,14,1
31.7,26.4,59.4,1,17,0
16.0,32.7,56.5,0,3,1
29.2,32.3,58.5,0,21,0
36.5,20.8,59.3,0,3,0
5.2,30.9,63.8,0,11,1
18.6,33.8,57.7,0,8,1
29.6,33.4,57.2,0,17,0
23.4,35.6,55.6,0,5,0
28.0,30.5,53.6,0,16,0
20.2,34.9,45.9,0,16,1
25.7,29.2,54.4,0,12,0
23.8,26.4,57.4,0,11,0
34.3,26.8,59.0,0,13,0
27.0,26.2,56.8,0,7,0
27.7,36.0,52.7,1,14,0
21.7,25.9,54.4,0,8,1
21.1,33.1,49.5,0,0,1
21.5,30.9,58.1,0,16,1
28.2,31.6,52.8,0,9,0
21.6,37.5,56.8,0,22,1
27.3,30.2,65.0,0,4,0
41.6,34.4,47.9,0,10,0
32.0,32.2,61.0,0,2,0
22.4,31.4,55.3,0,1,0
34.6,41.2,75.2,0,21,0
21.7,26.2,52.8,0,3,1
8.7,37.2,62.0,1,20,0
16.9,34.6,55.2,0,1,1
10.0,30.1,41.1,0,0,1
22.2,38.5,49.8,0,8,0
25.1,24.6,63.8,0,2,0
38.4,29.9,50.7,0,5,0
27.6,27.2,32.8,0,13,0
23.2,33.6,54.7,0,0,0
31.6,27.5,44.1,1,11,0
7.3,33.7,56.3,0,20,1
26.9,31.3,70.5,0,15,0
31.2,30.1,62.7,1,19,0
13.2,33.6,70.4,0,18,1
34.2,30.9,49.4,0,17,0
27.7,27.6,53.6,0,13,0
21.7,43.2,44.6,0,2,1
30.1,30.1,48.2,0,13,0
43.2,23.1,45.7,0,16,0
26.5,28.6,41.9,0,12,0
27.0,26.9,68.7,0,0,0
21.3,35.3,34.1,0,7,1
18.2,33.3,68.7,1,20,0
31.6,33.6,67.5,1,1,0
18.2,30.5,60.0,0,18,1
25.6,30.9,43.9,1,14,0
21.2,30.5,39.2,0,13,1
28.8,31.7,49.5,0,13,0
27.7,35.3,61.3,0,17,0
33.3,33.3,55.0,1,14,0
20.9,34.0,44.6,1,9,0
22.8,34.0,66.5,0,17,0
17.2,35.5,71.8,0,19,1
21.4,33.2,52.7,0,3,1
28.0,33.4,56.1,0,6,0
31.1,36.8,39.9,0,1,0
17.6,29.3,50.9,0,8,1
32.0,28.6,60.1,0,22,0
35.8,27.3,58.5,0,3,0
28.3,32.7,49.9,0,11,0
40.0,24.6,52.3,0,22,0
18.8,33.8,50.5,1,9,0
15.0,31.6,52.2,0,10,1
10.8,36.5,59.2,0,0,1
37.0,29.3,35.3,0,12,0
30.2,31.2,54.3,1,6,0
24.6,36.5,58.5,0,5,0
27.2,37.5,49.3,0,8,0
16.0,29.3,50.2,0,23,1
44.6,32.7,50.5,0,17,0
26.0,33.2,50.2,0,2,0
25.9,33.5,55.1,0,12,0
30.8,30.9,56.3,1,2,0
28.8,37.1,34.0,0,12,0
26.8,24.4,61.5,0,5,0
18.7,30.3,52.1,1,17,0
28.8,33.8,74.3,0,1,0
40.1,33.8,43.1,0,19,0
35.8,37.4,46.3,1,16,0
37.7,36.8,53.0,0,0,0
20.9,30.9,59.1,1,16,0
17.1,37.2,35.5,1,4,0
24.0,29.1,46.7,0,8,0
25.4,35.7,60.9,0,3,0
33.8,39.2,45.5,0,13,0
11.5,36.9,68.7,0,7,1
37.2,32.4,50.5,0,22,0
23.7,30.7,46.0,0,12,0
21.6,25.9,61.1,0,5,1
16.9,33.2,71.1,0,13,1
11.8,27.5,59.2,0,8,1
31.6,28.8,67.6,0,16,0
25.6,27.2,71.8,1,6,0
14.7,30.2,45.8,0,8,1
14.6,31.9,64.4,1,14,0
22.3,33.1,39.8,0,9,0
38.4,29.6,59.2,0,13,0
22.9,36.3,54.3,0,15,0
13.0,31.2,67.4,1,1,0
23.0,28.8,66.7,0,3,0
22.8,32.9,60.7,1,20,0
5.0,39.9,58.0,1,14,0
24.6,33.3,60.1,0,10,0
23.2,30.5,55.6,0,20,0
30.6,25.9,54.4,0,10,0
39.8,31.1,69.4,0,22,0
34.0,32.9,70.6,0,23,0
22.8,30.4,53.6,1,12,0
16.1,25.3,57.4,1,15,0
45.6,28.6,55.8,1,8,0
25.5,37.8,38.9,0,20,0
25.1,37.7,51.6,0,1,0
24.8,28.5,71.0,0,1,0
26.6,34.7,47.5,0,4,0
23.8,27.3,76.1,1,4,0
20.4,37.6,66.7,1,4,0
20.6,33.0,59.0,0,13,1
24.7,35.8,60.6,0,5,0
20.7,25.1,45.8,0,15,1
19.3,34.7,52.3,0,15,1
25.9,32.0,69.4,0,7,0
23.0,35.4,48.9,0,4,0
37.0,35.7,65.6,0,12,0
5.0,32.3,41.2,1,2,0
33.7,29.6,43.0,0,8,0
35.0,35.1,74.0,1,3,0
8.4,31.8,54.9,0,7,1
22.3,28.5,49.6,1,15,0
22.0,28.3,68.6,1,10,0
13.7,26.1,67.5,0,22,1
18.8,30.0,64.2,0,18,1
16.1,36.4,49.3,0,9,1
39.0,32.7,52.1,0,21,0
32.5,29.9,58.1,0,6,0
35.2,35.2,61.9,0,11,0
30.8,28.7,49.9,1,22,0
16.0,32.4,56.7,0,7,1
20.8,31.3,57.7,0,9,1
28.9,35.1,67.9,0,4,0
15.2,25.7,62.5,1,4,0
30.7,28.6,39.9,0,12,0
23.1,25.4,52.9,0,1,0
22.0,31.0,45.7,1,11,0
30.7,36.8,60.7,0,10,0
28.6,30.0,64.2,0,1,0
22.1,30.0,56.0,0,14,0
34.3,35.5,52.3,0,19,0
16.4,36.3,55.7,0,6,1
29.9,31.6,57.1,1,7,0
29.7,34.7,48.6,0,2,0
22.5,27.7,42.8,0,16,0
27.6,37.5,34.5,0,19,0
15.0,40.6,67.7,0,5,1
32.4,34.1,60.0,0,21,0
23.5,23.7,58.6,1,14,0
20.8,29.8,67.7,1,12,0
33.4,34.5,42.4,0,22,0
19.4,30.3,37.6,0,12,1
13.7,37.1,58.8,0,11,1
12.5,34.4,57.9,1,13,0
29.8,29.2,37.7,0,8,0
14.8,32.1,58.6,0,9,1
39.0,28.4,51.0,1,4,0
8.3,31.3,46.9,0,20,1
38.6,29.8,51.7,0,4,0
26.7,36.7,30.6,0,20,0
24.2,40.5,49.1,0,19,0
20.6,26.3,48.0,0,5,1
28.2,24.3,60.6,0,11,0
24.7,31.0,53.4,0,16,0
33.8,25.9,61.4,0,15,0
25.9,32.2,29.5,0,17,0
26.2,35.0,46.6,1,21,0
22.1,38.0,60.6,0,5,0
24.5,32.8,51.9,0,9,0
27.5,31.2,63.5,0,19,0
11.3,24.1,37.0,0,20,1
14.2,32.1,62.3,0,8,1
30.9,32.3,48.6,0,1,0
26.4,34.6,47.6,1,2,0
23.5,29.2,64.9,0,9,0
25.1,30.3,66.6,0,7,0
27.8,26.1,65.3,1,8,0
20.7,22.8,75.4,0,20,1
18.8,27.6,67.7,0,18,1
26.6,25.7,47.0,0,0,0
17.2,33.3,56.4,0,1,1
28.3,29.9,51.4,1,19,0
11.4,29.8,75.3,0,3,1
33.2,28.1,66.0,0,15,0
28.8,19.1,53.1,1,20,0
27.0,38.0,63.8,0,11,0
32.9,28.0,42.7,0,1,0
38.3,30.4,57.5,0,14,0
33.1,26.2,45.6,1,17,0
10.3,35.9,38.1,0,15,1
14.8,32.6,62.8,0,20,1
20.0,28.7,64.1,0,11,1
25.2,30.4,59.6,1,17,0
29.1,38.7,53.2,1,13,0
19.2,31.7,42.3,0,20,1
26.5,31.3,43.4,1,11,0
19.0,28.2,45.3,1,4,0
20.1,24.4,52.7,0,22,1
13.7,31.4,65.8,0,3,1
17.6,33.3,65.6,0,17,1
14.2,36.4,38.5,0,23,1
17.2,23.0,48.1,0,16,1
33.4,27.5,47.8,0,15,0
17.4,29.7,29.7,0,9,1
46.1,32.0,60.7,0,16,0
28.9,31.4,52.5,1,11,0
26.5,31.5,53.9,0,11,0
18.1,33.6,68.5,0,22,1
30.6,28.4,55.9,1,3,0
20.4,35.7,50.7,0,2,1
26.0,33.7,60.7,1,0,0
45.5,30.7,65.6,0,11,0
24.2,38.4,58.0,0,7,0
34.2,38.2,61.9,0,7,0
19.4,35.7,53.5,0,11,1
24.7,19.9,54.2,0,3,0
39.2,38.3,56.1,0,15,0
20.0,35.2,47.5,1,1,0
39.5,40.0,49.3,0,3,0
30.7,36.9,68.8,0,22,0
20.5,38.3,75.1,0,3,1
30.1,35.5,70.9,0,10,0
32.8,37.4,41.8,1,2,0
30.0,40.0,40.8,0,9,0
